City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,butaritari,3.0707,172.7902,26.74,79,100,3.62,KI,1676904632
84,mangrol,21.1167,70.1167,23.28,70,1,4.57,IN,1676904632
85,beloha,-25.1667,45.05,29.71,63,35,4.61,MG,1676904633
86,zhireken,52.8249,117.3076,-24.86,99,63,1.09,RU,1676904634
87,kaspiyskiy,45.3929,47.3707,2.35,89,100,5.96,RU,1676904635
88,san andres,12.5847,-81.7006,27.01,83,20,6.17,CO,1676904387
89,abaza,52.655,90.0928,-11.37,97,90,2.0,RU,1676904637
90,krasnoturansk,54.3186,91.5639,-16.36,99,100,1.11,RU,1676904638
91,margate,51.3813,1.3862,12.71,73,0,0.89,GB,1676904639
92,hazorasp,41.3194,61.0742,9.91,40,0,3.13,UZ,1676904639
93,hendersonville,36.3048,-86.62,14.29,85,100,1.34,US,1676904632
94,nouadhibou,20.931,-17.0347,25.99,38,91,9.26,MR,1676904641
95,port alfred,-33.5906,26.891,23.99,71,47,3.13,ZA,1676904641
96,takoradi,4.8845,-1.7554,29.36,67,18,5.09,GH,1676904407
97,sao miguel do araguaia,-13.275,-50.1628,26.68,77,83,3.43,BR,1676904643
98,georgetown,5.4112,100.3354,28.96,83,20,2.57,MY,1676904643
99,walvis bay,-22.9575,14.5053,27.53,41,0,6.17,NA,1676904644
100,longmont,40.1672,-105.1019,8.59,40,0,5.66,US,1676904645
101,herford,52.1333,8.6833,8.17,87,100,8.66,DE,1676904646
102,hilo,19.7297,-155.09,20.14,97,100,2.06,US,1676904646
103,betioky,-23.7167,44.3833,29.5,64,71,2.95,MG,1676904647
104,maple creek,49.9168,-109.4848,-8.77,85,100,3.6,CA,1676904601
105,gizo,-8.103,156.8419,27.63,75,82,1.34,SB,1676904649
106,aklavik,68.2191,-135.0107,-24.0,77,100,1.03,CA,1676904650
107,bambous virieux,-20.3428,57.7575,28.14,89,75,14.4,MU,1676904650
108,port elizabeth,-33.918,25.5701,21.17,73,20,14.4,ZA,1676904651
109,college,64.8569,-147.8028,-12.82,81,100,0.0,US,1676904652
110,hambantota,6.1241,81.1185,25.19,100,40,2.06,LK,1676904653
111,teguise,29.0605,-13.564,21.12,56,20,3.6,ES,1676904653
112,saijo,33.9167,133.1833,6.38,85,90,5.27,JP,1676904654
113,general bravo,25.8,-99.1667,20.03,81,21,0.37,MX,1676904655
114,cherskiy,68.75,161.3,-40.59,100,79,1.09,RU,1676904656
115,tasiilaq,65.6145,-37.6368,-5.91,93,100,4.0,GL,1676904657
116,stanghelle,60.5528,5.7357,7.1,97,96,8.46,NO,1676904658
117,pandan,14.0453,124.1694,24.85,93,79,4.48,PH,1676904658
118,lipari,38.4674,14.954,15.62,68,0,1.82,IT,1676904659
119,itarema,-2.9248,-39.9167,30.3,58,100,4.76,BR,1676904660
120,plauen,50.5,12.1333,11.83,68,19,3.13,DE,1676904660
121,lagoa,39.05,-27.9833,14.74,70,99,5.81,PT,1676904661
122,thompson,55.7435,-97.8558,-37.91,67,0,1.54,CA,1676904663
123,port-gentil,-0.7193,8.7815,31.98,74,40,4.12,GA,1676904614
124,anju,39.6178,125.6647,-4.82,41,0,5.43,KP,1676904664
125,dunedin,-45.8742,170.5036,16.0,87,79,2.28,NZ,1676904616
126,zheleznodorozhnyy,55.7503,38.0042,-5.88,97,100,1.86,RU,1676904665
127,tiksi,71.6872,128.8694,-21.95,93,100,3.9,RU,1676904666
128,mount gambier,-37.8333,140.7667,15.26,91,95,4.07,AU,1676904587
129,oum hadjer,13.2954,19.6966,34.5,7,2,3.02,TD,1676904668
130,ranavav,21.6842,69.7408,23.73,60,6,3.72,IN,1676904668
131,port blair,11.6667,92.75,26.02,83,40,1.03,IN,1676904671
132,husavik,66.0449,-17.3389,0.11,82,100,3.06,IS,1676904672
133,castro,-24.7911,-50.0119,16.87,99,100,1.0,BR,1676904674
134,lasa,46.6166,10.7002,16.49,78,100,1.78,IT,1676904674
135,namatanai,-3.6667,152.4333,26.11,82,66,1.71,PG,1676904675
136,nabire,-3.3667,135.4833,25.33,82,100,0.79,ID,1676904676
137,puerto ayacucho,5.6639,-67.6236,31.62,38,100,3.75,VE,1676904676
138,mahanje,-9.9333,35.3333,25.67,74,62,1.63,TZ,1676904677
139,east london,-33.0153,27.9116,27.52,65,0,4.12,ZA,1676904678
140,mahebourg,-20.4081,57.7,28.16,89,75,14.4,MU,1676904679
141,thinadhoo,0.5333,72.9333,27.24,76,57,3.01,MV,1676904680
142,inhambane,-23.865,35.3833,28.64,82,100,6.81,MZ,1676904680
143,salalah,17.0151,54.0924,32.05,12,0,6.69,OM,1676904682
144,beringovskiy,63.05,179.3167,-18.56,98,100,5.32,RU,1676904682
145,ambilobe,-13.2,49.05,25.72,88,73,1.53,MG,1676904684
146,macamic,48.7502,-78.9996,-22.29,90,92,3.22,CA,1676904684
